name,neighborhood,variety,neighbors,left_neighbor,right_neighbor,inhabitants,stable,sealed,clues,gate,gate_to,explored,closed,special_encounter,guaranteed_resource,possible_resource
River Docks,Merchant District,Location,Merchant District Streets,Merchant District Streets,Merchant District Streets,null,TRUE,FALSE,0,FALSE,null,FALSE,FALSE,"Shady Character: Instead of having an encounter here, you may spend 5 toughness worth of monster trophies or 1 gate trophy to gain $5.",money,common items
The Unnamable,Merchant District,Location,Merchant District Streets,Merchant District Streets,Merchant District Streets,null,FALSE,FALSE,1,FALSE,null,FALSE,FALSE,null,null,"unique items, clues"
Unvisited Isle,Merchant District,Location,Merchant District Streets,Merchant District Streets,Merchant District Streets,null,FALSE,FALSE,1,FALSE,null,FALSE,FALSE,null,null,"clues, spells"
Black Cave,Rivertown,Location,Rivertown Streets,Rivertown Streets,Rivertown Streets,null,FALSE,FALSE,1,FALSE,null,FALSE,FALSE,null,null,"common items, spells"
General Store,Rivertown,Location,Rivertown Streets,Rivertown Streets,Rivertown Streets,null,TRUE,FALSE,0,FALSE,null,FALSE,FALSE,"Shop: Instead of having an encounter here, you may draw 3 Common Items and purchase one of them for its list price. Discard the other two items.",common items,money
Graveyard,Rivertown,Location,Rivertown Streets,Rivertown Streets,Rivertown Streets,null,FALSE,FALSE,1,FALSE,null,FALSE,FALSE,null,null,"clues, unique items"
Administration,Miskatonic University,Location,Miskatonic University Streets,Miskatonic University Streets,Miskatonic University Streets,null,TRUE,FALSE,0,FALSE,null,FALSE,FALSE,"Classes: Instead of having an encounter here, you may pay $8 to draw 2 Skills. Keep one of them and discard the other.",skills,money
Science Building,Miskatonic University,Location,Miskatonic University Streets,Miskatonic University Streets,Miskatonic University Streets,null,FALSE,FALSE,1,FALSE,null,FALSE,FALSE,"Dissection: Instead of having an encounter here, you may spend 5 toughness worth of monster trophies or 1 gate trophy to gain 2 Clue tokens.",clues,unique items
Library,Miskatonic University,Location,Miskatonic University Streets,Miskatonic University Streets,Miskatonic University Streets,null,TRUE,FALSE,0,FALSE,null,FALSE,FALSE,null,null,"unique items, spells"
The Witch House,French Hill,Location,French Hill Streets,French Hill Streets,French Hill Streets,null,FALSE,FALSE,1,FALSE,null,FALSE,FALSE,null,null,"clues, spells"
The Silver Twilight Lodge,French Hill,Location,French Hill Streets,French Hill Streets,French Hill Streets,null,FALSE,FALSE,1,FALSE,null,FALSE,FALSE,null,null,"unique items, clues"
The Inner Sanctum,French Hill,Location,French Hill Streets,French Hill Streets,French Hill Streets,null,FALSE,FALSE,1,FALSE,null,FALSE,FALSE,null,null,null
St. Mary's Hospital,Uptown,Location,Uptown Streets,Uptown Streets,Uptown Streets,null,TRUE,FALSE,0,FALSE,null,FALSE,FALSE,"Medical Care: Instead of having an encounter here, you may recover Stamina by receiving medical care. You may either regain 1 Stamina for free, or pay $2 to restore your Stamina to its maximum value.",stamina,clues
Woods,Uptown,Location,Uptown Streets,Uptown Streets,Uptown Streets,null,FALSE,FALSE,1,FALSE,null,FALSE,FALSE,null,null,"money, common items"
Ye Olde Magick Shoppe,Uptown,Location,Uptown Streets,Uptown Streets,Uptown Streets,null,TRUE,FALSE,0,FALSE,null,FALSE,FALSE,"Magic Lessons: Instead of having an encounter here, you may pay $5 to draw 2 Spells. Keep one of them and discard the other.",spells,unique items
Ma's Boarding House,Southside,Location,Southside Streets,Southside Streets,Southside Streets,null,TRUE,FALSE,0,FALSE,null,FALSE,FALSE,"Recruit: Instead of having an encounter here, you may spend 10 toughness worth of monster trophies, 2 gate trophies, or 5 toughness worth of monster trophies and 1 gate trophy to take 1 Ally of your choice from the Ally deck.",allies,stamina
Historical Society,Southside,Location,Southside Streets,Southside Streets,Southside Streets,null,FALSE,FALSE,1,FALSE,null,FALSE,FALSE,null,null,"skills, spells"
South Church,Southside,Location,Southside Streets,Southside Streets,Southside Streets,null,TRUE,FALSE,0,FALSE,null,FALSE,FALSE,"Blessing: Instead of having an encounter here, you may spend 5 toughness worth of monster trophies or 1 gate trophy to have any investigator you choose be Blessed.",blessing,sanity
Northside Streets,Northside,Street Area,"Train Station, Newspaper, Curiositie Shoppe, Downtown Streets, Merchant District Streets",Merchant District Streets,Downtown Streets,null,null,null,0,FALSE,null,FALSE,FALSE,null,null,null
Downtown Strees,Downtown,Street Area,"Bank of Arkham, Arkham Asylum, Independence Square, Northside Streets, Merchant District Streets, Easttown Streets",Northisde Streets,Easttown Streets,null,null,null,0,FALSE,null,FALSE,FALSE,null,null,null
Easttown Streets,Easttown,Street Area,"Hibb's Roadhouse, Velma's Diner, Police Station, Downtown Streets, Rivertown Streets",Downtown Streets,Rivertown Streets,null,null,null,0,FALSE,null,FALSE,FALSE,null,null,null
Merchant District Streets,Merchant District,Street Area,"Unvisited Isle, River Docks, The Unnamable, Northside Streets, Downtown Streets, Rivertown Streets, Miskatonic University Streets",Miskatonic University Streets,Northisde Streets,null,null,null,0,FALSE,null,FALSE,FALSE,null,null,null
Rivertown Streets,Rivertown,Street Area,"Graveyard, Black Cave, General Store, Easttown Streets, Merchant District Streets, French Hill Streets",Easttown Streets,French Hill Streets,null,null,null,0,FALSE,null,FALSE,FALSE,null,null,null
Miskatonic University Streets,Miskatonic University,Street Area,"Science Building, Administration, Library, Merchant District Streets, French Hill Streets, Uptown Streets",Uptown Streets,Merchant District Streets,null,null,null,0,FALSE,null,FALSE,FALSE,null,null,null
French Hill Streets,French Hill,Street Area,"The Witch House, Silver Twilight Lodge, Rivertown Streets, Miskatonic University Streets, Southside Streets",Rivertown Streets,Southside Streets,null,null,null,0,FALSE,null,FALSE,FALSE,null,null,null
Uptown Streets,Uptown,Street Area,"St. Mary's Hospital, Ye Olde Magick Shoppe, Woods, Miskatonic University Streets, Southside Streets",Southside Streets,Miskatonic University Streets,null,null,null,0,FALSE,null,FALSE,FALSE,null,null,null
Southside Streets,Southside,Street Area,"Ma's Boarding House, South Church, Historical Society, French Hill Streets, Uptown Streets",French Hill Streets,Uptown Streets,null,null,null,0,FALSE,null,FALSE,FALSE,null,null,null
